item_id, item_name, buy_date, supplier_name, supplier_contact, amount, supplier_price,
33, Napkins, 12-21-2018, CrystalCup Packaging, 555-639-4412, 67, 20.0,
31, Plastic lids, 6-19-2017, CrystalCup Packaging, 555-639-4412, 30, 50.0,
12, Whole milk, 12-5-2018, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 84, 28.0,
36, Cleaning solution, 12-17-2019, CrystalCup Packaging, 555-639-4412, 58, 25.0,
16, Non-dairy creamer, 8-7-2024, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 31, 29.0,
35, Gloves, 7-25-2025, CrystalCup Packaging, 555-639-4412, 15, 22.0,
6, Popping boba (strawberry), 12-19-2013, Tropical Pop Toppings, 555-831-6640, 74, 32.0,
14, Almond milk, 5-5-2024, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 97, 34.0,
22, Strawberry syrup, 11-6-2024, SweetWave Syrup Co., https://www.sweetwaveco.com, 51, 24.0,
27, Whipped cream, 6-30-2020, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 84, 27.0,
6, Popping boba (strawberry), 3-13-2023, Tropical Pop Toppings, 555-831-6640, 28, 32.0,
36, Cleaning solution, 7-12-2026, CrystalCup Packaging, 555-639-4412, 62, 25.0,
30, Cup sealing film, 6-22-2013, CrystalCup Packaging, 555-639-4412, 66, 48.0,
28, Cheese foam powder, 2-23-2013, Golden Pearl Beverage Supply, 555-210-8745, 80, 36.0,
13, Oat milk, 7-3-2018, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 100, 35.0,
21, Vanilla syrup, 12-23-2018, SweetWave Syrup Co., https://www.sweetwaveco.com, 22, 24.0,
25, Passion fruit syrup, 1-12-2024, SweetWave Syrup Co., https://www.sweetwaveco.com, 89, 24.0,
37, BBQ pork, 11-19-2018, Golden Pearl Beverage Supply, 555-210-8745, 61, 65.0,
30, Cup sealing film, 2-3-2012, CrystalCup Packaging, 555-639-4412, 10, 48.0,
33, Napkins, 8-13-2014, CrystalCup Packaging, 555-639-4412, 14, 20.0,
26, Ice, 6-10-2017, Golden Pearl Beverage Supply, 555-210-8745, 26, 10.0,
9, Simple syrup, 8-19-2026, SweetWave Syrup Co., https://www.sweetwaveco.com, 49, 18.0,
36, Cleaning solution, 5-5-2021, CrystalCup Packaging, 555-639-4412, 69, 25.0,
29, Plastic sealing cups, 10-27-2020, CrystalCup Packaging, 555-639-4412, 54, 55.0,
34, Sugar packets, 8-16-2013, CrystalCup Packaging, 555-639-4412, 74, 18.0,
0, Black tea leaves, 4-18-2013, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 19, 45.0,
1, Green tea leaves, 3-3-2017, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 63, 42.5,
1, Green tea leaves, 8-23-2026, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 69, 42.5,
37, BBQ pork, 5-19-2013, Golden Pearl Beverage Supply, 555-210-8745, 24, 65.0,
34, Sugar packets, 12-4-2018, CrystalCup Packaging, 555-639-4412, 62, 18.0,
29, Plastic sealing cups, 7-27-2013, CrystalCup Packaging, 555-639-4412, 34, 55.0,
30, Cup sealing film, 9-31-2021, CrystalCup Packaging, 555-639-4412, 95, 48.0,
32, Wide boba straws, 12-7-2022, CrystalCup Packaging, 555-639-4412, 59, 45.0,
20, Chocolate powder, 3-5-2021, Golden Pearl Beverage Supply, 555-210-8745, 66, 26.0,
24, Lychee syrup, 12-12-2020, SweetWave Syrup Co., https://www.sweetwaveco.com, 47, 24.0,
22, Strawberry syrup, 5-12-2012, SweetWave Syrup Co., https://www.sweetwaveco.com, 71, 24.0,
37, BBQ pork, 7-16-2016, Golden Pearl Beverage Supply, 555-210-8745, 39, 65.0,
2, Jasmine tea leaves, 4-24-2019, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 94, 48.0,
34, Sugar packets, 3-11-2022, CrystalCup Packaging, 555-639-4412, 31, 18.0,
13, Oat milk, 5-2-2014, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 80, 35.0,
32, Wide boba straws, 10-17-2015, CrystalCup Packaging, 555-639-4412, 76, 45.0,
25, Passion fruit syrup, 9-24-2024, SweetWave Syrup Co., https://www.sweetwaveco.com, 80, 24.0,
27, Whipped cream, 6-18-2020, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 84, 27.0,
13, Oat milk, 9-21-2019, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 75, 35.0,
20, Chocolate powder, 10-27-2023, Golden Pearl Beverage Supply, 555-210-8745, 45, 26.0,
6, Popping boba (strawberry), 10-12-2025, Tropical Pop Toppings, 555-831-6640, 10, 32.0,
21, Vanilla syrup, 7-1-2015, SweetWave Syrup Co., https://www.sweetwaveco.com, 65, 24.0,
25, Passion fruit syrup, 5-3-2017, SweetWave Syrup Co., https://www.sweetwaveco.com, 29, 24.0,
4, Tapioca pearls, 8-8-2022, BubbleBurst Tapioca Supply, info@bubblebursttapioca.com, 61, 38.0,
11, Condensed milk, 1-19-2026, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 67, 30.0,
5, Popping boba (mango), 3-19-2013, Tropical Pop Toppings, 555-831-6640, 86, 32.0,
7, Popping boba (lychee), 8-25-2021, Tropical Pop Toppings, 555-831-6640, 53, 32.0,
17, Taro powder, 1-31-2020, Golden Pearl Beverage Supply, 555-210-8745, 79, 40.0,
32, Wide boba straws, 6-14-2016, CrystalCup Packaging, 555-639-4412, 60, 45.0,
35, Gloves, 8-5-2017, CrystalCup Packaging, 555-639-4412, 75, 22.0,
28, Cheese foam powder, 7-4-2013, Golden Pearl Beverage Supply, 555-210-8745, 76, 36.0,
26, Ice, 6-31-2013, Golden Pearl Beverage Supply, 555-210-8745, 93, 10.0,
2, Jasmine tea leaves, 10-15-2019, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 39, 48.0,
35, Gloves, 5-26-2016, CrystalCup Packaging, 555-639-4412, 36, 22.0,
22, Strawberry syrup, 4-3-2026, SweetWave Syrup Co., https://www.sweetwaveco.com, 17, 24.0,
10, Honey, 9-4-2018, SweetWave Syrup Co., https://www.sweetwaveco.com, 32, 22.0,
26, Ice, 10-29-2016, Golden Pearl Beverage Supply, 555-210-8745, 48, 10.0,
33, Napkins, 3-18-2023, CrystalCup Packaging, 555-639-4412, 21, 20.0,
15, Coconut milk, 2-29-2016, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 17, 33.0,
37, BBQ pork, 12-19-2017, Golden Pearl Beverage Supply, 555-210-8745, 67, 65.0,
2, Jasmine tea leaves, 5-25-2017, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 36, 48.0,
22, Strawberry syrup, 2-26-2013, SweetWave Syrup Co., https://www.sweetwaveco.com, 12, 24.0,
27, Whipped cream, 3-28-2012, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 10, 27.0,
26, Ice, 12-30-2019, Golden Pearl Beverage Supply, 555-210-8745, 94, 10.0,
17, Taro powder, 2-19-2023, Golden Pearl Beverage Supply, 555-210-8745, 71, 40.0,
11, Condensed milk, 6-9-2019, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 90, 30.0,
34, Sugar packets, 10-18-2018, CrystalCup Packaging, 555-639-4412, 100, 18.0,
14, Almond milk, 4-22-2015, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 26, 34.0,
27, Whipped cream, 5-25-2021, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 65, 27.0,
19, Thai tea mix, 2-21-2020, Golden Pearl Beverage Supply, 555-210-8745, 14, 37.0,
7, Popping boba (lychee), 10-14-2017, Tropical Pop Toppings, 555-831-6640, 20, 32.0,
19, Thai tea mix, 12-19-2020, Golden Pearl Beverage Supply, 555-210-8745, 22, 37.0,
13, Oat milk, 10-12-2012, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 28, 35.0,
38, Teriyaki chicken, 6-6-2025, Golden Pearl Beverage Supply, 555-210-8745, 29, 60.0,
2, Jasmine tea leaves, 8-1-2013, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 47, 48.0,
24, Lychee syrup, 1-18-2019, SweetWave Syrup Co., https://www.sweetwaveco.com, 24, 24.0,
26, Ice, 10-29-2020, Golden Pearl Beverage Supply, 555-210-8745, 67, 10.0,
2, Jasmine tea leaves, 7-19-2024, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 70, 48.0,
32, Wide boba straws, 3-10-2021, CrystalCup Packaging, 555-639-4412, 72, 45.0,
10, Honey, 1-28-2017, SweetWave Syrup Co., https://www.sweetwaveco.com, 18, 22.0,
33, Napkins, 10-24-2014, CrystalCup Packaging, 555-639-4412, 28, 20.0,
6, Popping boba (strawberry), 4-25-2017, Tropical Pop Toppings, 555-831-6640, 74, 32.0,
32, Wide boba straws, 8-2-2018, CrystalCup Packaging, 555-639-4412, 15, 45.0,
35, Gloves, 9-8-2016, CrystalCup Packaging, 555-639-4412, 18, 22.0,
27, Whipped cream, 1-19-2023, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 58, 27.0,
35, Gloves, 4-30-2017, CrystalCup Packaging, 555-639-4412, 78, 22.0,
26, Ice, 8-30-2022, Golden Pearl Beverage Supply, 555-210-8745, 35, 10.0,
17, Taro powder, 7-15-2026, Golden Pearl Beverage Supply, 555-210-8745, 13, 40.0,
28, Cheese foam powder, 11-9-2019, Golden Pearl Beverage Supply, 555-210-8745, 16, 36.0,
6, Popping boba (strawberry), 6-8-2018, Tropical Pop Toppings, 555-831-6640, 94, 32.0,
25, Passion fruit syrup, 6-18-2013, SweetWave Syrup Co., https://www.sweetwaveco.com, 97, 24.0,
1, Green tea leaves, 6-31-2017, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 54, 42.5,
21, Vanilla syrup, 5-10-2025, SweetWave Syrup Co., https://www.sweetwaveco.com, 30, 24.0,
15, Coconut milk, 8-25-2015, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 44, 33.0,
10, Honey, 10-19-2016, SweetWave Syrup Co., https://www.sweetwaveco.com, 87, 22.0,
18, Matcha powder, 2-18-2024, ZenMatcha Imports, wholesale@zenmatchaimports.com, 17, 60.0,
6, Popping boba (strawberry), 5-28-2013, Tropical Pop Toppings, 555-831-6640, 83, 32.0,
11, Condensed milk, 6-17-2020, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 35, 30.0,
10, Honey, 10-9-2016, SweetWave Syrup Co., https://www.sweetwaveco.com, 59, 22.0,
22, Strawberry syrup, 8-13-2012, SweetWave Syrup Co., https://www.sweetwaveco.com, 79, 24.0,
20, Chocolate powder, 8-21-2020, Golden Pearl Beverage Supply, 555-210-8745, 100, 26.0,
20, Chocolate powder, 2-4-2016, Golden Pearl Beverage Supply, 555-210-8745, 18, 26.0,
29, Plastic sealing cups, 12-10-2012, CrystalCup Packaging, 555-639-4412, 62, 55.0,
5, Popping boba (mango), 4-10-2014, Tropical Pop Toppings, 555-831-6640, 55, 32.0,
39, French fries, 12-22-2018, Golden Pearl Beverage Supply, 555-210-8745, 63, 40.0,
22, Strawberry syrup, 3-17-2024, SweetWave Syrup Co., https://www.sweetwaveco.com, 75, 24.0,
21, Vanilla syrup, 8-11-2015, SweetWave Syrup Co., https://www.sweetwaveco.com, 10, 24.0,
30, Cup sealing film, 1-27-2018, CrystalCup Packaging, 555-639-4412, 24, 48.0,
29, Plastic sealing cups, 2-2-2016, CrystalCup Packaging, 555-639-4412, 71, 55.0,
24, Lychee syrup, 5-22-2023, SweetWave Syrup Co., https://www.sweetwaveco.com, 38, 24.0,
30, Cup sealing film, 1-4-2023, CrystalCup Packaging, 555-639-4412, 38, 48.0,
6, Popping boba (strawberry), 9-30-2014, Tropical Pop Toppings, 555-831-6640, 91, 32.0,
15, Coconut milk, 3-15-2026, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 86, 33.0,
29, Plastic sealing cups, 8-7-2022, CrystalCup Packaging, 555-639-4412, 79, 55.0,
2, Jasmine tea leaves, 6-16-2015, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 55, 48.0,
5, Popping boba (mango), 10-8-2012, Tropical Pop Toppings, 555-831-6640, 25, 32.0,
2, Jasmine tea leaves, 7-30-2026, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 29, 48.0,
21, Vanilla syrup, 4-28-2018, SweetWave Syrup Co., https://www.sweetwaveco.com, 52, 24.0,
21, Vanilla syrup, 12-8-2025, SweetWave Syrup Co., https://www.sweetwaveco.com, 97, 24.0,
27, Whipped cream, 10-24-2018, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 55, 27.0,
32, Wide boba straws, 3-13-2021, CrystalCup Packaging, 555-639-4412, 80, 45.0,
17, Taro powder, 8-17-2018, Golden Pearl Beverage Supply, 555-210-8745, 54, 40.0,
27, Whipped cream, 3-10-2025, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 42, 27.0,
29, Plastic sealing cups, 7-8-2025, CrystalCup Packaging, 555-639-4412, 40, 55.0,
10, Honey, 5-3-2021, SweetWave Syrup Co., https://www.sweetwaveco.com, 41, 22.0,
2, Jasmine tea leaves, 1-19-2016, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 54, 48.0,
21, Vanilla syrup, 9-11-2020, SweetWave Syrup Co., https://www.sweetwaveco.com, 43, 24.0,
13, Oat milk, 1-8-2013, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 49, 35.0,
34, Sugar packets, 7-13-2022, CrystalCup Packaging, 555-639-4412, 23, 18.0,
32, Wide boba straws, 2-23-2022, CrystalCup Packaging, 555-639-4412, 70, 45.0,
13, Oat milk, 3-31-2022, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 75, 35.0,
30, Cup sealing film, 10-1-2019, CrystalCup Packaging, 555-639-4412, 36, 48.0,
24, Lychee syrup, 2-20-2022, SweetWave Syrup Co., https://www.sweetwaveco.com, 66, 24.0,
3, Oolong tea leaves, 12-6-2015, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 60, 50.0,
26, Ice, 9-8-2019, Golden Pearl Beverage Supply, 555-210-8745, 100, 10.0,
32, Wide boba straws, 3-12-2014, CrystalCup Packaging, 555-639-4412, 37, 45.0,
23, Mango syrup, 3-11-2015, SweetWave Syrup Co., https://www.sweetwaveco.com, 32, 24.0,
2, Jasmine tea leaves, 12-1-2026, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 82, 48.0,
14, Almond milk, 11-22-2017, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 64, 34.0,
21, Vanilla syrup, 7-5-2012, SweetWave Syrup Co., https://www.sweetwaveco.com, 49, 24.0,
0, Black tea leaves, 5-14-2014, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 74, 45.0,
29, Plastic sealing cups, 8-27-2016, CrystalCup Packaging, 555-639-4412, 71, 55.0,
39, French fries, 10-17-2020, Golden Pearl Beverage Supply, 555-210-8745, 80, 40.0,
31, Plastic lids, 3-19-2025, CrystalCup Packaging, 555-639-4412, 73, 50.0,
18, Matcha powder, 1-22-2023, ZenMatcha Imports, wholesale@zenmatchaimports.com, 38, 60.0,
36, Cleaning solution, 10-15-2025, CrystalCup Packaging, 555-639-4412, 54, 25.0,
34, Sugar packets, 3-18-2023, CrystalCup Packaging, 555-639-4412, 89, 18.0,
5, Popping boba (mango), 1-7-2017, Tropical Pop Toppings, 555-831-6640, 55, 32.0,
2, Jasmine tea leaves, 12-11-2019, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 35, 48.0,
11, Condensed milk, 7-17-2018, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 12, 30.0,
38, Teriyaki chicken, 11-10-2012, Golden Pearl Beverage Supply, 555-210-8745, 31, 60.0,
13, Oat milk, 9-3-2020, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 33, 35.0,
1, Green tea leaves, 5-4-2019, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 30, 42.5,
27, Whipped cream, 3-22-2012, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 88, 27.0,
4, Tapioca pearls, 12-11-2019, BubbleBurst Tapioca Supply, info@bubblebursttapioca.com, 100, 38.0,
31, Plastic lids, 8-17-2023, CrystalCup Packaging, 555-639-4412, 61, 50.0,
7, Popping boba (lychee), 9-5-2024, Tropical Pop Toppings, 555-831-6640, 61, 32.0,
38, Teriyaki chicken, 1-15-2023, Golden Pearl Beverage Supply, 555-210-8745, 41, 60.0,
28, Cheese foam powder, 3-8-2021, Golden Pearl Beverage Supply, 555-210-8745, 39, 36.0,
35, Gloves, 7-18-2014, CrystalCup Packaging, 555-639-4412, 77, 22.0,
18, Matcha powder, 6-23-2019, ZenMatcha Imports, wholesale@zenmatchaimports.com, 70, 60.0,
17, Taro powder, 3-9-2019, Golden Pearl Beverage Supply, 555-210-8745, 13, 40.0,
0, Black tea leaves, 5-1-2026, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 95, 45.0,
20, Chocolate powder, 5-14-2016, Golden Pearl Beverage Supply, 555-210-8745, 95, 26.0,
2, Jasmine tea leaves, 8-21-2012, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 24, 48.0,
6, Popping boba (strawberry), 2-24-2020, Tropical Pop Toppings, 555-831-6640, 86, 32.0,
3, Oolong tea leaves, 10-31-2014, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 83, 50.0,
18, Matcha powder, 2-16-2013, ZenMatcha Imports, wholesale@zenmatchaimports.com, 69, 60.0,
4, Tapioca pearls, 5-20-2018, BubbleBurst Tapioca Supply, info@bubblebursttapioca.com, 71, 38.0,
11, Condensed milk, 2-30-2024, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 71, 30.0,
